period,period_date,oem_code,amt_cost_group,qty_revenue,amt_revenue,qty_fcst_avg,qty_fcst_max,qty_fcst_min,amt_projection,amt_budget,qty_inv_main_part_1,qty_inv_main_part_2,qty_inv_main_part_3,qty_inv_main_part_4,qty_inv_main_part_5,qty_inv_FGI
201804,4/1/2018,61,1999207.19,22099,2376384.43,22099,22099,22099,2800000,3394413,213,1002,17,98,19921,2392
201805,5/1/2018,61,3049015.37,23205,3588024.67,23205,23205,23205,3300000,4082288,3994,1370,144,2420,854,1768
201806,6/1/2018,61,5156450.24,43200,6029752.73,43200,43200,43200,5500000,4978970,18,5,9,440,704,1542
201807,7/1/2018,61,2060745.1,23759,2422434.44,23759,23759,23759,2694895,3534387,2812,1444,78,4,48,1726
201808,8/1/2018,61,2894270.09,741521,3386540.81,741521,741521,741521,3542343,4783744,1452,10,6216,2632,532,880
201809,9/1/2018,61,4014940.2,35246,4712696.94,35246,35246,35246,5000000,6267950,2514,7,2840,307,85,737
201810,10/1/2018,61,2711123.94,47812,3194057.67,47812,47812,47812,2500000,4100035,18,380,250,779,3,1083
201811,11/1/2018,61,4367217.92,37806,5117978.07,37806,37806,37806,4000000,5144759,84,1392,57,516,86,1505
201812,12/1/2018,61,6237997.35,50017,7340262.04,50017,50017,50017,5500000,6546753,116,30,103,32,44,2337
201901,1/1/2019,61,2272783.41,27479,2654706.19,27479,27479,27479,2232549,2644121,200,686,88,64,331,1026
201902,2/1/2019,61,1586792.11,18986,1885369.39,18986,18986,18986,2000000,2984499,1400,1035,57,57,100,755
201903,3/1/2019,61,3517367.27,27525,4109554.34,27525,27525,27525,5000000,4747451,447,164,1620,480,87,590
201904,4/1/2019,61,2666310.78,27078,3114266.31,27078,27078,27078,2500000,2779846,78,74,260,210,8,1155
201905,5/1/2019,61,3194596.95,37729,3762115.43,37729,37729,37729,3000000,3526397,28,80,2552,477,2470,495
201906,6/1/2019,61,5118881.14,54022,5937734.18,0,0,0,5200000,5417670,405,244,486,408,1030,310
201907,7/1/2019,61,1782455.75,12824,2149986.33,37,50,50,2500000,2704546,11,5050,135,10116,3942,1197
201908,8/1/2019,61,3095485.89,33544,3654990.3,257,257,257,3000000,3533014,339,192,20,784,470,1156
201909,9/1/2019,61,3729447.87,37392,4439442.33,163,163,163,5000000,5535584,15,90,3,2362,29,2418
201910,10/1/2019,61,2648322.06,25045,3177851.5,349,638,638,2500000,3087444,30,801,134,3684,52,1709
201911,11/1/2019,61,3123633.87,34453,3742324.47,681,1125,1125,4600000,4376967,15,165,825,858,526,2332
201912,12/1/2019,61,7047011.13,56450,8378510.69,916,1247,1247,7660000,6050637,26,722,1038,134,6,2428
202001,1/1/2020,61,2401169.21,17576,2893518.08,610,805,805,2598688,2487713,2206,692,212,501,180,1721
202002,2/1/2020,61,2152216.16,26073,2549428.69,714,890,890,2200000,3421567,80,50,194,420,321,1889
